time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss
5467,1343488,245,82,435.4104309082031,300.0,0.199420765042305,0.0003,0.05665324,-0.03701454773545265,0.2,810,0.9908157587051392,-0.01903760599816451,3.4751892782747746,0.4783203125,0.004496122078126064
5467,1359872,248,83,426.8042297363281,300.0,0.19881565868854523,0.0003,0.057269376,-0.030972450971603394,0.2,820,0.993267297744751,-0.01772309494554065,3.526446997374296,0.47977294921875,0.004052127647446469
5470,1376256,251,84,414.228271484375,300.0,0.19853481650352478,0.0003,0.058816344,-0.01979101076722145,0.2,830,0.9916844964027405,-0.019222261873073875,3.5664828553795815,0.489385986328125,0.004663788456673501
5471,1392640,254,85,422.153564453125,300.0,0.19839945435523987,0.0003,0.056414817,-0.023960523307323456,0.2,840,0.9912497997283936,-0.017385993129573764,3.582782367616892,0.4813720703125,0.00487598790350603
5475,1409024,257,86,427.7363586425781,300.0,0.1984654814004898,0.0003,0.05691518,-0.0268105436116457,0.2,850,0.9929622411727905,-0.01594677962712012,3.5780105873942376,0.481610107421875,0.003962818346917629
5478,1425408,260,87,423.1886291503906,300.0,0.19821670651435852,0.0003,0.05860262,-0.03293414041399956,0.2,860,0.9902756214141846,-0.019453837394394213,3.599806796759367,0.486614990234375,0.004268846481863875
5477,1441792,263,88,401.9550476074219,300.0,0.19746483862400055,0.0003,0.06286838,-0.035208042711019516,0.2,870,0.9912790656089783,-0.019575500434439164,3.649278984963894,0.494989013671875,0.003900650033028796
5479,1458176,266,89,411.12957763671875,300.0,0.1971389353275299,0.0003,0.061996557,-0.02707926742732525,0.2,880,0.9932324290275574,-0.018119528177339816,3.6894940376281737,0.487237548828125,0.005800622519745957
5482,1474560,268,90,430.6669921875,300.0,0.1966899186372757,0.0003,0.057138585,-0.03954875096678734,0.2,890,0.9922236800193787,-0.01666162130277371,3.7209165550768377,0.480389404296875,0.003967273399757687
5483,1490944,271,91,420.5195617675781,300.0,0.19641415774822235,0.0003,0.061708562,-0.029625529423356056,0.2,900,0.9913879036903381,-0.015207278591697104,3.7627308666706085,0.490008544921875,0.004637892636674223
5486,1507328,274,92,421.00250244140625,300.0,0.19598530232906342,0.0003,0.059689075,-0.022649263963103294,0.2,910,0.9918181300163269,-0.0171662057073263,3.7948867067694665,0.492120361328125,0.004254318815947044
