t_unix,roll_deg,pitch_deg
1786332125.577,2.1,0.4
1786332125.878,-2.6,-4.3
1786332126.178,6.2,11.6
1786332126.478,11.4,4.5
1786332126.778,11.3,-0.5
1786332127.079,-0.7,-2.3
1786332127.379,-2.3,-6.4
1786332127.679,2.8,7.9
1786332127.980,-2.2,0.2
1786332128.280,9.0,5.6
1786332128.580,-4.8,-2.9
1786332128.880,-3.0,-5.3
1786332129.180,3.4,13.8
1786332129.480,2.8,4.5
1786332129.780,3.5,5.9
1786332130.081,-4.5,-1.3
1786332130.381,-5.9,-1.5
1786332130.681,6.8,14.6
1786332130.981,8.2,2.4
1786332131.281,9.8,7.0
1786332131.582,-2.8,3.5
1786332131.882,2.5,1.2
1786332132.182,2.2,16.6
1786332132.482,-4.5,-0.1
1786332132.782,5.2,3.4
1786332133.082,-8.3,8.3
1786332133.383,-3.0,-4.9
1786332133.683,5.1,10.5
1786332133.983,-1.4,5.7
1786332134.283,7.2,8.3
1786332134.584,-14.6,0.3
1786332134.884,-3.1,0.7
1786332135.184,None,None
1786332135.484,1.6,5.0
1786332135.785,6.6,11.1
1786332136.085,-8.7,10.2
1786332136.385,-4.1,-3.3
1786332136.685,-2.4,9.3
1786332136.985,-1.5,4.5
1786332137.286,1.8,12.7
1786332137.586,-3.8,2.1
1786332137.886,-3.5,-8.9
1786332138.186,0.9,10.1
1786332138.486,-3.0,5.9
1786332138.786,10.4,11.3
1786332139.087,5.9,5.2
1786332139.387,-0.9,-5.0
1786332139.687,4.4,8.1
1786332139.987,1.2,-0.7
1786332140.287,10.1,10.4
1786332140.587,2.5,5.4
1786332140.888,21.3,14.3
1786332141.188,8.6,1.8
1786332141.488,-6.7,3.6
1786332141.788,-0.2,4.2
1786332142.088,1.7,-4.2
1786332142.389,-1.7,-7.0
1786332142.689,-0.5,6.9
1786332142.989,6.3,4.0
1786332143.289,8.1,6.0
1786332143.589,-4.5,-2.4
1786332143.890,-3.0,6.6
1786332144.190,4.2,11.7
1786332144.490,-6.0,2.1
1786332144.790,11.1,10.5
1786332145.090,-2.6,3.7
1786332145.391,-3.7,4.4
1786332145.691,-3.8,2.2
1786332145.991,-6.8,3.2
1786332146.292,9.7,11.9
1786332146.592,-1.9,-0.8
1786332146.892,-0.3,0.9
1786332147.192,-0.1,6.1
1786332147.492,-0.2,4.8
1786332147.792,8.6,8.3
1786332148.093,-5.6,6.1
1786332148.393,-0.8,-1.5
1786332148.693,1.3,3.3
1786332148.993,-1.4,1.4
1786332149.294,10.6,12.4
1786332149.594,-0.3,1.2
1786332149.894,4.9,1.8
1786332150.194,2.1,2.4
1786332150.494,1.6,6.1
1786332150.795,11.4,10.3
1786332151.095,-2.3,0.1
1786332151.395,-2.9,-6.2
1786332151.695,-3.9,4.0
1786332151.995,-4.4,4.5
1786332152.295,8.3,9.2
1786332152.596,-0.3,-0.2
1786332152.896,-0.8,0.4
1786332153.196,6.6,-1.0
1786332153.496,-1.2,5.2
1786332153.797,11.0,10.4
1786332154.097,1.4,13.9
1786332154.397,-5.2,1.4
1786332154.698,4.6,-1.0
1786332154.998,0.7,2.7
1786332155.298,9.9,13.6
1786332155.598,-6.4,-0.2
1786332155.899,-3.7,1.7
