time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/std,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_fraction
327,5097,51,464.0411071777344,1671168,400.0,6.9776211095352965,0.00015,0.2,0.006558382130606333,-0.018740877509117126,0.17353709042072296,-0.005270055148381895,300,0.9904385805130005,0.033463947,0.3805491129557292
334,5095,52,450.5882568359375,1703936,400.0,6.993436095615228,0.00015,0.2,0.0062878614517103415,-0.0026482746470719576,0.17336532473564148,-0.004504912817841007,306,0.9879436492919922,0.031674363,0.3738861083984375
340,5095,53,416.6958923339844,1736704,400.0,7.022349396099647,0.00015,0.2,0.006393422618202749,-0.0066668568179011345,0.17311175167560577,-0.0039803147822870715,312,0.9911904335021973,0.033626862,0.3797709147135417
347,5094,54,425.19610595703125,1769472,400.0,7.0504711630443735,0.00015,0.2,0.007645057881745743,-0.0048514301888644695,0.17290560901165009,-0.00475980871366725,318,0.9876860976219177,0.03474755,0.3848673502604167
353,5094,55,438.62530517578125,1802240,400.0,7.075234601895015,0.00015,0.2,0.006610411318736927,0.0037003150209784508,0.17269621789455414,-0.003950611334706385,324,0.9915902614593506,0.033411328,0.378936767578125
360,5097,56,456.9344177246094,1835008,400.0,7.094893671572208,0.00015,0.2,0.006399821807766178,0.00751766050234437,0.1725495606660843,-0.003332447787518807,330,0.988810658454895,0.03431118,0.3799031575520833
366,5099,57,436.8929443359375,1867776,400.0,7.1084699394802255,0.00015,0.2,0.006124793599155964,0.0033066514879465103,0.17242616415023804,-0.003089758153388781,336,0.9907931089401245,0.032218255,0.3708292643229167
372,5098,58,433.63543701171875,1900544,400.0,7.130569302787383,0.00015,0.2,0.007249162360191501,-0.00455714575946331,0.17227703332901,-0.002807446743342249,342,0.9894692897796631,0.033826515,0.3825022379557292
379,5099,59,438.0556945800781,1933312,400.0,7.139829532553752,0.00015,0.2,0.006424037503165891,-0.011559596285223961,0.17217867076396942,-0.0029851426697860006,348,0.9908138513565063,0.033856038,0.3839162190755208
385,5100,60,432.864013671875,1966080,400.0,7.171701579044263,0.00015,0.2,0.005924672187878362,-0.0017212163656949997,0.1718592345714569,-0.002620607415034707,354,0.9897186756134033,0.03430628,0.3866628011067708
391,5102,61,466.4149475097656,1998848,400.0,7.183579405148824,0.00015,0.2,0.006876024088948422,0.0063474434427917,0.1718900054693222,-0.0036823139859431344,360,0.9896878004074097,0.033879325,0.3849538167317708
398,5103,62,455.814453125,2031616,400.0,7.190041981637478,0.00015,0.2,0.005942083035430794,-0.019835524260997772,0.17179463803768158,-0.0037037263239957006,366,0.9903799891471863,0.033321165,0.3833974202473958
404,5103,63,446.26031494140625,2064384,400.0,7.220815435051918,0.00015,0.2,0.006348991309399328,-0.0035177262034267187,0.1714516580104828,-0.0023545815341397733,372,0.9907160997390747,0.034631506,0.3850148518880208
410,5106,64,450.5694580078125,2097152,400.0,7.241518795490265,0.00015,0.2,0.00605614623297394,-0.009858737699687481,0.1713826209306717,-0.0032883580655228193,378,0.9913477301597595,0.037406974,0.3931783040364583
417,5107,65,453.4613342285156,2129920,400.0,7.261005628854036,0.00015,0.2,0.00589460468897111,-0.012384111993014812,0.17118294537067413,-0.0037494381419188962,384,0.9913615584373474,0.03481497,0.3847147623697917
423,5110,66,482.5059814453125,2162688,400.0,7.294815463324388,0.00015,0.2,0.006047883181963698,0.006220434792339802,0.1708877682685852,-0.0029470613199009676,390,0.9890060424804688,0.035031293,0.3798675537109375
429,5111,67,441.9676513671875,2195456,400.0,7.325803479800622,0.00015,0.2,0.005373148074795608,-0.01654207333922386,0.17065300047397614,-0.0022202246497424008,396,0.9858996272087097,0.035414435,0.385223388671875
435,5113,68,455.5622253417969,2228224,400.0,7.356798155854146,0.00015,0.2,0.007472803451188763,-0.005054384935647249,0.17036892473697662,-0.003176367303240113,402,0.9862472414970398,0.034125812,0.3922576904296875
441,5115,69,447.4385681152344,2260992,400.0,7.382360812276602,0.00015,0.2,0.006981981433151911,0.007570025976747274,0.1701972931623459,-0.0023716691806233334,408,0.9912261962890625,0.036063455,0.3869069417317708
448,5117,70,459.2835998535156,2293760,400.0,7.401115806152423,0.00015,0.2,0.006827588608454486,0.005159405060112476,0.1701200306415558,-0.0028148711729348483,414,0.9900515675544739,0.034606494,0.3899180094401042
454,5118,71,477.2695617675781,2326528,400.0,7.423741981387138,0.00015,0.2,0.005688179820329727,-0.004915665835142136,0.16987109184265137,-0.0013007453217142029,420,0.9901085495948792,0.03631197,0.3894195556640625
460,5120,72,481.74359130859375,2359296,400.0,7.459081036349137,0.00015,0.2,0.0055041265465357965,-0.01008366048336029,0.16954930126667023,-0.001872273051352143,426,0.9909323453903198,0.03486913,0.3877665201822917
466,5122,73,477.3485412597656,2392064,400.0,7.496428782741229,0.00015,0.2,0.005310490589787757,0.00844812486320734,0.16923527419567108,-0.0024785252553556347,432,0.9900946617126465,0.035989434,0.3951314290364583
473,5122,74,448.10662841796875,2424832,400.0,7.516522817313671,0.00015,0.2,0.0052591990018603,-0.0151393236592412,0.16915902495384216,-0.003979464622716478,438,0.9902023673057556,0.03729619,0.3960825602213542
479,5126,75,455.6671142578125,2457600,400.0,7.523446107904117,0.00015,0.2,0.006582617323147133,-0.008142364211380482,0.16910259425640106,-0.0034853062988986494,444,0.9900127649307251,0.036788978,0.3966318766276042
485,5127,76,490.3101501464844,2490368,400.0,7.5578453578054905,0.00015,0.2,0.0064863400384638226,-0.013432564213871956,0.16877605020999908,-0.004436805268293635,450,0.9895771741867065,0.035930056,0.3926849365234375
491,5129,77,471.63751220703125,2523136,400.0,7.5897568973402185,0.00015,0.2,0.005420416774844246,-0.0008520693518221378,0.1685076206922531,-0.0031050991362159643,456,0.9891241788864136,0.03424102,0.3843231201171875
497,5132,78,488.1961364746094,2555904,400.0,7.613120298832655,0.00015,0.2,0.005348089104397029,-0.01226218231022358,0.16839183866977692,-0.0035440116789686726,462,0.987919270992279,0.036468886,0.3995717366536458
504,5134,79,486.2608337402344,2588672,400.0,7.640448436141014,0.00015,0.2,0.005273493489463969,-0.006315045058727264,0.1681443154811859,-0.002420141950400042,468,0.9887359738349915,0.03745376,0.4012400309244792
510,5137,80,482.4525451660156,2621440,400.0,7.660315086444219,0.00015,0.2,0.00529673296053564,-0.012423310428857803,0.16794165968894958,-0.0051011075168692814,474,0.9896425008773804,0.0375472,0.4043019612630208
516,5138,81,471.468505859375,2654208,400.0,7.701156194011371,0.00015,0.2,0.005629364773994894,-0.0055074431002140045,0.16760534048080444,-0.003465644416185872,480,0.9886337518692017,0.036866065,0.4075775146484375
522,5139,82,436.7486267089844,2686976,400.0,7.725894755373399,0.00015,0.2,0.005717913866343831,-0.00879871379584074,0.16745755076408386,-0.0023356167257588822,486,0.9905096292495728,0.035936244,0.3932393391927083
529,5138,83,439.7623291015625,2719744,400.0,7.764336718867223,0.00015,0.2,0.006491126365290256,-0.004489325452595949,0.1670723706483841,-0.0022839772833928387,492,0.9883955717086792,0.037612773,0.406097412109375
